,Class,Season,ME,WE,Type
0,1.1,2010,85.0,10.0,1
1,1.1,2011,85.0,10.0,1
2,1.1,2012,79.0,10.0,1
3,1.1,2013,75.0,9.0,1
4,1.1,2014,74.0,14.0,1
5,1.1,2015,68.0,18.0,1
6,1.1,2016,64.0,15.0,1
7,1.1,2017,71.0,20.0,1
8,1.1,2018,69.0,21.0,1
9,1.1,2019,65.0,22.0,1
10,1.2,2010,86.0,15.0,1
11,1.2,2011,94.0,24.0,1
12,1.2,2012,94.0,29.0,1
13,1.2,2013,94.0,17.0,1
14,1.2,2014,99.0,25.0,1
15,1.2,2015,112.0,26.0,1
16,1.2,2016,91.0,30.0,1
17,1.2,2017,92.0,17.0,1
18,1.2,2018,77.0,19.0,1
19,1.2,2019,94.0,44.0,1
20,1.HC,2010,16.0,,1
21,1.HC,2011,15.0,,1
22,1.HC,2012,16.0,,1
23,1.HC,2013,14.0,,1
24,1.HC,2014,16.0,,1
25,1.HC,2015,21.0,,1
26,1.HC,2016,25.0,,1
27,1.HC,2017,20.0,,1
28,1.HC,2018,24.0,,1
29,1.HC,2019,23.0,,1
30,1.UWT,2010,13.0,,1
31,1.UWT,2011,13.0,,1
32,1.UWT,2012,14.0,,1
33,1.UWT,2013,14.0,,1
34,1.UWT,2014,14.0,,1
35,1.UWT,2015,14.0,,1
36,1.UWT,2016,14.0,,1
37,1.UWT,2017,20.0,,1
38,1.UWT,2018,20.0,,1
39,1.UWT,2019,21.0,,1
40,1.WWT,2016,,13.0,1
41,1.WWT,2017,,14.0,1
42,1.WWT,2018,,16.0,1
43,1.WWT,2019,,14.0,1
44,2.1,2010,184.0,52.0,2
45,2.1,2011,188.0,42.0,2
46,2.1,2012,170.0,66.0,2
47,2.1,2013,188.0,51.0,2
48,2.1,2014,205.0,55.0,2
49,2.1,2015,199.0,53.0,2
50,2.1,2016,202.0,48.0,2
51,2.1,2017,227.0,26.0,2
52,2.1,2018,223.0,38.0,2
53,2.1,2019,244.0,51.0,2
54,2.2,2010,595.0,37.0,2
55,2.2,2011,567.0,43.0,2
56,2.2,2012,497.0,53.0,2
57,2.2,2013,419.0,56.0,2
58,2.2,2014,444.0,64.0,2
59,2.2,2015,446.0,76.0,2
60,2.2,2016,360.0,73.0,2
61,2.2,2017,389.0,52.0,2
62,2.2,2018,395.0,54.0,2
63,2.2,2019,366.0,54.0,2
64,2.HC,2010,89.0,,2
65,2.HC,2011,100.0,,2
66,2.HC,2012,124.0,,2
67,2.HC,2013,120.0,5.0,2
68,2.HC,2014,142.0,,2
69,2.HC,2015,147.0,,2
70,2.HC,2016,120.0,,2
71,2.HC,2017,119.0,,2
72,2.HC,2018,125.0,,2
73,2.HC,2019,121.0,,2
74,2.UWT,2010,141.0,,2
75,2.UWT,2011,145.0,,2
76,2.UWT,2012,145.0,,2
77,2.UWT,2013,146.0,,2
78,2.UWT,2014,146.0,,2
79,2.UWT,2015,140.0,,2
80,2.UWT,2016,141.0,,2
81,2.UWT,2017,164.0,,2
82,2.UWT,2018,165.0,,2
83,2.UWT,2019,166.0,,2
84,2.WWT,2016,,22.0,2
85,2.WWT,2017,,32.0,2
86,2.WWT,2018,,36.0,2
87,2.WWT,2019,,38.0,2
