,Season,Continent,ME,MJ,MU,WE,WJ
0,2010,Africas,77.0,0.0,0.0,0.0,0.0
1,2010,Americas,199.0,6.0,4.0,3.0,0.0
2,2010,Asia,191.0,12.0,0.0,7.0,0.0
3,2010,Europe,712.0,105.0,47.0,108.0,2.0
4,2010,Oceania,24.0,0.0,0.0,5.0,0.0
5,2011,Africas,78.0,0.0,0.0,0.0,0.0
6,2011,Americas,182.0,6.0,4.0,5.0,0.0
7,2011,Asia,222.0,5.0,0.0,9.0,0.0
8,2011,Europe,709.0,95.0,49.0,109.0,2.0
9,2011,Oceania,10.0,0.0,0.0,5.0,0.0
10,2012,Africas,69.0,0.0,0.0,5.0,0.0
11,2012,Americas,174.0,6.0,4.0,19.0,1.0
12,2012,Asia,203.0,5.0,5.0,21.0,0.0
13,2012,Europe,671.0,88.0,52.0,116.0,2.0
14,2012,Oceania,16.0,0.0,0.0,5.0,0.0
15,2013,Africas,70.0,0.0,0.0,0.0,0.0
16,2013,Americas,153.0,6.0,3.0,16.0,1.0
17,2013,Asia,186.0,5.0,0.0,19.0,0.0
18,2013,Europe,644.0,78.0,52.0,111.0,4.0
19,2013,Oceania,11.0,0.0,0.0,0.0,0.0
20,2014,Africas,94.0,0.0,0.0,0.0,0.0
21,2014,Americas,175.0,6.0,0.0,26.0,0.0
22,2014,Asia,239.0,0.0,0.0,19.0,0.0
23,2014,Europe,609.0,71.0,49.0,122.0,1.0
24,2014,Oceania,16.0,0.0,0.0,0.0,0.0
25,2015,Africas,94.0,0.0,0.0,3.0,0.0
26,2015,Americas,156.0,6.0,0.0,31.0,0.0
27,2015,Asia,221.0,0.0,0.0,19.0,0.0
28,2015,Europe,652.0,70.0,50.0,125.0,2.0
29,2015,Oceania,18.0,0.0,0.0,5.0,0.0
30,2016,Africas,98.0,0.0,0.0,0.0,0.0
31,2016,Americas,109.0,6.0,0.0,40.0,0.0
32,2016,Asia,149.0,0.0,0.0,19.0,0.0
33,2016,Europe,636.0,82.0,60.0,137.0,10.0
34,2016,Oceania,18.0,0.0,0.0,5.0,0.0
35,2017,Africas,93.0,0.0,0.0,3.0,0.0
36,2017,Americas,126.0,6.0,0.0,27.0,0.0
37,2017,Asia,198.0,4.0,0.0,10.0,0.0
38,2017,Europe,661.0,90.0,66.0,116.0,10.0
39,2017,Oceania,17.0,0.0,0.0,5.0,0.0
40,2018,Africas,104.0,0.0,5.0,1.0,0.0
41,2018,Americas,111.0,6.0,0.0,32.0,0.0
42,2018,Asia,209.0,5.0,0.0,18.0,0.0
43,2018,Europe,649.0,91.0,71.0,126.0,12.0
44,2018,Oceania,18.0,0.0,0.0,7.0,0.0
45,2019,Africas,80.0,0.0,6.0,0.0,0.0
46,2019,Americas,135.0,6.0,0.0,41.0,0.0
47,2019,Asia,219.0,5.0,0.0,22.0,0.0
48,2019,Europe,644.0,80.0,67.0,154.0,12.0
49,2019,Oceania,18.0,0.0,0.0,8.0,0.0
